STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;CDSD;DSND;EMNT;EMSD;EMXP;EMXT;HDSD;PRCP;TAVG;TMAX;TMIN
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-03;;;;;0.26;;;2.33;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-04;;;;;1.19;;;4.58;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-05;;;;;0.27;;;0.96;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-06;;;;;1.09;;;2.39;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-07;;;;;0.53;;;2.83;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-08;;;;;1.17;;;2.94;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-09;;;;;0.43;;;3.69;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-10;;;;;1.09;;;3.31;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-11;;;;;0.3;;;1.08;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1966-12;;;;;0.33;;;1.59;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-01;;;;;0.19;;;1.25;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-02;;;;;0.24;;;1.06;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-03;;;;;0.29;;;1.65;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-04;;;;;0.22;;;1.33;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-05;;;;;0.57;;;2.94;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-06;;;;;0.67;;;3.06;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-07;;;;;0.63;;;1.17;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-08;;;;;0.69;;;3.95;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-09;;;;;0.21;;;0.66;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-10;;;;;0.64;;;4.53;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-11;;;;;0.3;;;1.57;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1967-12;;;;;0.44;;;2.59;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-01;;;;;0.25;;;1.41;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-02;;;;;0.3;;;1.25;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-03;;;;;0.17;;;1.34;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-04;;;;;0.5;;;2.02;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-05;;;;;0.48;;;1.56;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-06;;;;;0.35;;;1.53;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-07;;;;;0.56;;;3.59;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-08;;;;;0.35;;;1.93;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-09;;;;;0.56;;;2.28;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-10;;;;;0.54;;;4.95;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-11;;;;;0.58;;;1.81;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1968-12;;;;;0.26;;;1.68;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-01;;;;;0.13;;;0.81;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-02;;;;;0.21;;;0.71;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-03;;;;;0.28;;;0.87;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-04;;;;;0.31;;;1.42;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-05;;;;;1.13;;;2.9;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-06;;;;;0.17;;;0.45;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-07;;;;;1.04;;;3.08;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-08;;;;;0.52;;;1.18;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-09;;;;;1.28;;;5.36;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-10;;;;;0.46;;;1.61;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-11;;;;;0.28;;;2.27;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1969-12;;;;;0.94;;;1.76;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-01;;;;;0.46;;;1;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-02;;;;;0.13;;;0.7;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-03;;;;;0.19;;;0.98;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-04;;;;;0.4;;;2.47;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-05;;;;;0.18;;;0.39;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-06;;;;;0.27;;;0.84;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-07;;;;;1.32;;;4.27;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-08;;;;;0.63;;;2.41;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-09;;;;;1.1;;;4.53;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-10;;;;;0.54;;;2.39;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-11;;;;;0.58;;;2.31;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1970-12;;;;;0.3;;;1.72;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1971-01;;;;;0.31;;;1.54;;;
RSM00026072;PETROKREPOST,RS;59.933;31;17;1971-02;;;;;0.2;;;1.25;;;
